 1 ,        1 ,   0.00 ,   0.56
 1 ,       10 ,   0.00 ,   5.01
 1 ,      100 ,   4.00 ,  23.15
 1 ,     1000 ,   1.60 ,  38.56
 1 ,    10000 ,   1.38 ,  45.23
 1 ,   100000 ,   1.55 ,  61.49
 1 ,   500000 ,   1.57 , 102.55
 1 ,  1000000 ,   1.59 , 139.20
 2 ,        1 ,   0.00 ,   0.34
 2 ,       10 ,   0.00 ,   3.20
 2 ,      100 ,   0.00 ,  26.13
 2 ,     1000 ,   1.70 ,  60.37
 2 ,    10000 ,   1.71 ,  79.41
 2 ,   100000 ,   1.62 , 105.85
 2 ,   500000 ,   1.57 , 147.61
 2 ,  1000000 ,   1.57 , 188.06
 4 ,        1 ,   0.00 ,   0.24
 4 ,       10 ,   0.00 ,   2.59
 4 ,      100 ,   1.00 ,  20.80
 4 ,     1000 ,   1.70 , 102.41
 4 ,    10000 ,   1.69 , 156.44
 4 ,   100000 ,   1.59 , 164.30
 4 ,   500000 ,   1.59 , 229.06
 4 ,  1000000 ,   1.58 , 283.28
 6 ,        1 ,   0.00 ,   0.22
 6 ,       10 ,   0.00 ,   2.02
 6 ,      100 ,   1.00 ,  19.45
 6 ,     1000 ,   1.10 , 125.39
 6 ,    10000 ,   1.61 , 231.46
 6 ,   100000 ,   1.50 , 244.41
 6 ,   500000 ,   1.57 , 318.22
 6 ,  1000000 ,   1.57 , 367.97
 8 ,        1 ,   0.00 ,   0.19
 8 ,       10 ,   0.00 ,   1.55
 8 ,      100 ,   0.00 ,  16.46
 8 ,     1000 ,   1.80 , 115.55
 8 ,    10000 ,   1.67 , 283.99
 8 ,   100000 ,   1.55 , 324.49
 8 ,   500000 ,   1.57 , 391.55
 8 ,  1000000 ,   1.56 , 457.48
